Time [],C1.V [],L1.I []
0.0004536,12.18758498,2.506731929
0.0004546,12.19063131,2.502949766
0.0004549,12.19150626,2.501803354
0.000455,12.1917939,2.501420053
0.0004551,12.19207954,2.50103618
0.0004556,12.19345252,2.499101655
0.0004566,12.19609792,2.49520615
0.0004576,12.19854197,2.491259751
0.0004586,12.20078426,2.487266489
0.0004596,12.20282461,2.4832304
0.0004599,12.20339732,2.482011735
0.00046,12.20358418,2.481604753
0.0004601,12.20376903,2.4811974
0.0004606,12.20463774,2.479151022
0.0004616,12.20627434,2.475041902
0.0004626,12.20770951,2.470902063
0.0004636,12.20894376,2.46673553
0.0004646,12.20997779,2.462546315
0.0004649,12.21024906,2.461285635
0.000465,12.2103355,2.46086505
0.0004651,12.21041995,2.460444294
0.0004656,12.21078766,2.458336418
0.0004666,12.21142421,2.454114299
0.0004676,12.21186371,2.44988142
0.0004686,12.21210755,2.445641707
0.0004696,12.21215727,2.441399059
0.0004699,12.21213455,2.440126184
0.00047,12.21212313,2.439701926
0.0004701,12.2121098,2.439277693
0.0004706,12.2119907,2.437157786
0.0004716,12.21165773,2.432921302
0.0004726,12.21113627,2.428693362
0.0004736,12.2104285,2.424477714
0.0004746,12.20953675,2.420278061
0.0004749,12.20923365,2.419021751
0.000475,12.209129,2.418603388
0.0004751,12.20902254,2.418185236
0.0004756,12.20844101,2.416100826
0.0004766,12.20718917,2.411944524
0.0004776,12.20576121,2.40781502
0.0004786,12.20415999,2.403715808
0.0004796,12.20238855,2.399650323
0.0004799,12.20182431,2.398437685
